model_year,Compact,Full-size,Mid-size
2012,,,7.0
2013,4.0,10.0,7.0
2014,4.0,11.333333333333334,5.0
2015,4.0,11.666666666666666,5.0
2016,4.0,11.538461538461538,5.5
2017,5.4,11.5,5.0
2018,5.4,12.0,8.666666666666666
2019,5.3,11.571428571428571,8.620000000000001
2020,9.075,11.5,9.0
2021,10.25,13.5,9.076923076923077
2022,10.375,12.11923076923077,8.964285714285714
2023,10.375,10.987499999999999,8.6575
2024,10.035714285714286,11.451923076923077,8.866666666666667
2025,10.222222222222221,11.64,9.102941176470589
