milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
USAF,1971-01-12,F-4,1404,TRENCH,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1972-08-07,A-37,E438,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1970-06-04,A-1,D229,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-09-14,A-1,D336,AA SITE,DESTROYED,A-1,FIGHTER
USAF,1971-09-28,F-4,5707,ARTILLERY,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-07-08,A-37,6250,FOX HOLES,DAMAGED,A-37,ATTACK
USAF,1971-03-10,AC-119,4230,BOATS\BARGES,DAMAGED,AC-119,TRANSPORT
USAF,1971-03-15,A-37,5268,SAMPANS,DESTROYED,A-37,ATTACK
VNAF,1972-07-09,A-1,D339,TRENCH,DESTROYED,A-1,FIGHTER
USAF,1971-04-22,B-57,7798,TRUCKS,DESTROYED,B-57,"TACTICAL, BOMBER"
VNAF,1972-05-29,A-37,E426,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1972-07-15,F-4,6803,MORTAR SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1970-11-03,A-37,E184,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1970-07-11,F-5,D269,TRENCH,DESTROYED,F-5,FIGHTER
VNAF,1972-07-30,A-37,E428,TUNNELS,DAMAGED,A-37,ATTACK
USAF,1970-06-02,F-4,0441,POL BARRELS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-04-22,A-37,B119,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1971-12-07,F-5,D375,FOX HOLES,DESTROYED,F-5,FIGHTER
VNAF,1972-09-20,A-37,E418,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-10-02,A-37,C206,CAVES,DESTROYED,A-37,ATTACK
VNAF,1971-12-09,A-37,B163,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-05-11,A-37,B104,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1970-07-16,F-100,5235,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
USAF,1973-08-14,F-4,6620,ARTILLERY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-06-16,A-37,B106,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-02-20,A-37,E425,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1972-05-27,A-37,6254,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1971-12-30,A-1,C256,TUNNELS,DESTROYED,A-1,FIGHTER
VNAF,1972-05-20,A-37,E403,TRENCH,DESTROYED,A-37,ATTACK
VNAF,1972-09-19,A-37,B163,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-09-20,A-1,D346,CAVES,DESTROYED,A-1,FIGHTER
VNAF,1971-10-11,A-37,E446,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-02-05,F-4,8626,ARTILLERY,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1972-02-19,F-5,D374,TUNNELS,DESTROYED,F-5,FIGHTER
VNAF,1970-04-12,A-37,C388,ARTILLERY,DESTROYED,A-37,ATTACK
USAF,1970-02-07,AC-130,1100,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1972-08-03,F-4,7038,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
VNAF,1971-02-12,A-37,E093,TRENCH,DESTROYED,A-37,ATTACK
USAF,1972-03-22,A-37,6506,BRIDGE\ANY,DESTROYED,A-37,ATTACK
USAF,1971-07-01,AC-119,4230,SAMPANS,DAMAGED,AC-119,TRANSPORT
USN,1971-02-17,A-6,1764,TRUCKS,DAMAGED,A-6,ATTACK
VNAF,1972-11-24,A-1,C263,FOX HOLES,DESTROYED,A-1,FIGHTER
VNAF,1972-05-20,A-37,E433,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1972-09-08,A-37,B158,SAMPANS,DESTROYED,A-37,ATTACK
VNAF,1972-01-27,A-37,E411,FOX HOLES,DESTROYED,A-37,ATTACK
VNAF,1972-03-30,A-37,E438,TUNNELS,DESTROYED,A-37,ATTACK
USAF,1971-05-18,F-4,7252,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
VNAF,1971-08-21,A-37,E437,FOX HOLES,DESTROYED,A-37,ATTACK
RAAF,1970-02-10,B-57,5801,RAILROAD BRIDGE,DESTROYED,B-57,"TACTICAL, BOMBER"
VNAF,1973-01-08,A-1,D360,ARTILLERY,DESTROYED,A-1,FIGHTER
USN,1972-05-10,A-7,9063,FOX HOLES,DESTROYED,A-7,ATTACK
USAF,1973-02-02,A-7,6025,CRATE\STORAGE CONT,DESTROYED,A-7,ATTACK
VNAF,1972-10-20,A-1,D312,FOX HOLES,DESTROYED,A-1,FIGHTER
USAF,1971-12-17,F-4,7005,SUPPLIES\RICE\WEAPONS,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-12-28,A-7,9503,TRUCKS,DAMAGED,A-7,ATTACK
USAF,1972-08-08,F-4,6951,TRUCKS,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-03-11,AC-130,5233,TRUCKS,DAMAGED,AC-130,ATTACK
USAF,1971-05-14,AC-119,4234,SAMPANS,DAMAGED,AC-119,TRANSPORT
VNAF,1971-07-17,F-5,D360,ROADS\HIGHWAYS,DESTROYED,F-5,FIGHTER
VNAF,1971-12-12,A-37,E438,TUNNELS,DESTROYED,A-37,ATTACK
VNAF,1973-01-18,A-37,E400,CAVES,DESTROYED,A-37,ATTACK
USAF,1972-09-02,F-4,6118,12.7 GUN SITE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1970-09-15,F-100,5318,FOX HOLES,DESTROYED,F-100,"FIGHTER, BOMBER"
USN,1971-02-11,A-4,1809,TRUCKS,DESTROYED,A-4,FIGHTER
USAF,1970-12-21,F-100,4428,BRIDGES,DAMAGED,F-100,"FIGHTER, BOMBER"
USAF,1972-05-01,F-4,8708,TRUCKS,DAMAGED,F-4,"FIGHTER, BOMBER"
