milservice,msndate,valid_aircraft_root,missionid,tgttype,resultsbda,VALIDATED_ROOT,AIRCRAFT_APPLICATION
VNAF,1971-08-31,A-37,B115,TRENCH,DESTROYED,A-37,ATTACK
RLAF,1971-03-30,T-28,7800,FOX HOLES,DAMAGED,T-28,TRAIN
USAF,1973-07-10,A-7,6701,FOX HOLES,DESTROYED,A-7,ATTACK
VNAF,1972-04-17,A-1,D320,ARTILLERY,DESTROYED,A-1,FIGHTER
VNAF,1972-06-19,F-5,D355,FOX HOLES,DESTROYED,F-5,FIGHTER
VNAF,1970-07-09,A-37,B586,BRIDGE\ANY,DESTROYED,A-37,ATTACK
USN,1972-09-21,A-7,1646,BRIDGES,DAMAGED,A-7,ATTACK
USAF,1971-04-13,F-4,0651,AAA\37MM  CR MORE,DESTROYED,F-4,"FIGHTER, BOMBER"
USN,1972-02-13,A-6,9630,TRUCKS,DAMAGED,A-6,ATTACK
USAF,1970-05-12,A-37,5800,FOX HOLES,DESTROYED,A-37,ATTACK
USAF,1971-07-01,B-57,7962,TRUCKS,DESTROYED,B-57,"TACTICAL, BOMBER"
USAF,1973-04-28,F-4,6948,FORDS\SUBSURFACE BRIDGE,DESTROYED,F-4,"FIGHTER, BOMBER"
USAF,1972-05-08,A-37,6213,FOX HOLES,DAMAGED,A-37,ATTACK
